Hours_Studied,Attendance,Previous_Scores,Tutoring_Sessions,Sleep_Hours,Motivation_Level,Teacher_Quality,School_Type,Internet_Access,Family_Income,Parental_Involvement,Parental_Education_Level,Distance_from_Home,Physical_Activity,Peer_Influence,Access_to_Resources,Extracurricular_Activities,Health,Study_Environment,Exam_Score,Score_Range,Parent_Edu_mapped,Motivation_mapped
Medium,13,28,3,5,0,2,1,0,2,0,0,28,1,2,1,1,0,0,24,1,School,Low
Low,13,69,1,5,1,0,0,1,1,0,2,14,2,1,1,1,1,1,31,1,Higher,Medium
High,6,63,2,7,0,1,0,1,2,1,0,2,3,0,1,0,1,2,55,3,School,Low
Medium,31,23,0,2,0,1,0,0,2,2,1,20,4,2,0,1,0,2,26,1,College,Low
Medium,18,15,2,1,2,2,0,1,2,1,1,3,6,1,2,0,1,2,13,0,College,High
High,1,51,4,4,2,2,0,1,0,1,2,12,5,2,1,1,0,2,26,1,Higher,High
Low,9,5,1,3,0,0,1,1,0,2,1,14,3,2,2,1,4,2,7,0,College,Low
Medium,49,36,3,4,0,1,0,1,2,1,2,20,2,2,2,1,3,2,43,2,Higher,Low
High,16,3,3,5,2,0,1,1,2,2,2,27,4,2,0,0,0,1,23,1,Higher,High
High,36,37,4,4,1,1,1,0,0,1,1,7,5,2,2,1,2,1,48,2,College,Medium
High,11,40,2,6,1,0,1,1,2,2,2,1,0,0,1,0,2,1,33,1,Higher,Medium
Medium,5,13,1,1,2,0,1,0,1,2,0,14,4,0,2,0,3,0,13,0,School,High
Low,21,50,2,4,1,1,1,1,2,0,1,1,3,1,1,1,3,2,35,1,College,Medium
High,31,64,0,3,0,0,1,1,0,0,1,21,1,2,1,0,2,1,50,2,College,Low
High,40,51,2,5,1,1,0,1,2,1,2,5,4,2,1,1,4,0,53,3,Higher,Medium
Low,19,29,0,0,2,2,1,1,2,2,1,20,2,1,2,0,4,0,11,0,College,High
Medium,0,56,3,5,1,0,1,1,1,2,1,28,5,2,0,1,0,2,26,1,College,Medium
Medium,53,29,1,0,1,1,1,1,2,2,0,6,4,1,2,1,3,0,33,1,School,Medium
Low,46,41,0,3,1,1,0,1,0,2,0,26,3,0,0,1,2,1,29,1,School,Medium
High,52,10,2,5,0,0,1,1,0,2,1,3,4,2,0,0,3,2,36,1,College,Low
Medium,57,26,2,5,0,1,1,1,1,1,2,14,2,2,0,1,2,1,42,2,Higher,Low
Low,5,23,3,5,0,0,0,0,1,0,0,18,2,2,2,1,2,1,15,0,School,Low
Medium,18,38,4,5,2,0,0,0,0,2,0,9,3,2,0,1,0,0,25,1,School,High
Low,17,17,4,1,1,2,0,0,2,2,0,20,6,2,0,1,3,2,3,0,School,Medium
High,5,44,2,2,0,2,1,1,0,2,2,10,2,0,0,0,4,0,34,1,Higher,Low
Medium,44,11,4,5,0,2,0,0,1,1,1,6,3,2,1,0,3,0,25,1,College,Low
High,32,48,1,1,1,0,0,1,0,0,1,14,4,2,0,0,2,1,39,1,College,Medium
Low,22,30,4,3,2,0,0,1,1,0,0,26,4,1,1,0,4,1,19,0,School,High
High,22,21,1,5,1,1,1,1,0,2,1,10,0,0,0,1,2,0,32,1,College,Medium
High,25,43,2,4,2,0,0,0,2,1,0,18,3,2,2,1,3,1,40,1,School,High
High,12,63,2,5,1,2,1,0,2,0,0,16,1,2,1,0,2,0,39,1,School,Medium
Low,6,24,2,6,0,1,1,1,1,0,2,19,3,0,0,1,1,2,18,0,Higher,Low
Medium,14,50,3,5,0,2,0,1,2,1,2,20,4,1,2,0,4,1,39,1,Higher,Low
Low,43,6,4,0,0,2,1,0,1,0,0,4,5,0,1,1,0,1,11,0,School,Low
High,26,5,0,4,2,2,1,0,2,1,2,6,4,0,2,1,1,0,16,0,Higher,High
Low,25,23,0,5,1,1,1,0,0,0,2,2,2,1,0,0,2,0,22,1,Higher,Medium
Medium,32,18,2,5,2,2,0,0,2,1,2,25,0,0,0,1,3,1,20,0,Higher,High
Low,14,8,4,5,0,0,1,0,0,2,1,9,1,1,0,1,2,2,10,0,College,Low
Medium,35,35,1,1,2,2,0,0,1,0,1,14,6,1,0,1,0,1,31,1,College,High
Medium,44,39,0,3,2,0,1,0,2,0,2,4,0,2,1,0,3,0,33,1,Higher,High
High,54,23,2,0,2,2,0,0,2,0,1,29,3,2,1,1,4,2,42,2,College,High
Medium,26,47,0,5,1,0,1,0,0,1,0,4,5,0,1,1,4,2,34,1,School,Medium
Low,56,62,0,3,2,2,1,1,1,0,0,23,3,2,0,0,2,2,46,2,School,High
Low,4,68,0,0,2,0,0,1,2,0,0,22,4,1,0,1,1,0,24,1,School,High
High,1,52,2,0,2,0,1,1,1,1,2,10,2,1,2,1,3,1,29,1,Higher,High
Low,54,53,2,6,0,2,0,1,1,0,1,19,1,0,2,1,1,1,41,2,College,Low
High,57,41,3,0,0,0,0,0,2,0,2,14,6,0,1,0,2,2,51,3,Higher,Low
High,32,44,3,5,1,2,1,1,0,1,2,17,5,2,0,0,3,1,40,1,Higher,Medium
High,15,13,3,1,0,1,0,1,1,1,0,22,2,0,0,1,4,0,27,1,School,Low
Medium,22,28,0,5,1,1,1,1,1,1,0,27,1,0,2,0,4,1,23,1,School,Medium
Low,37,5,4,5,0,0,0,0,2,0,1,22,5,0,1,0,2,0,15,0,College,Low
Low,54,6,2,3,1,1,0,0,1,2,1,20,0,1,0,1,3,2,22,1,College,Medium
Medium,15,36,3,2,1,1,0,0,2,1,1,15,6,2,2,0,2,2,26,1,College,Medium
High,13,52,4,2,1,1,1,1,1,0,2,18,4,1,1,0,4,0,35,1,Higher,Medium
Low,28,17,3,6,0,2,1,1,0,2,2,8,2,1,1,1,0,2,18,0,Higher,Low
Low,25,37,3,2,2,0,1,1,0,2,0,22,3,0,1,0,1,1,24,1,School,High
Low,34,58,4,3,0,0,1,1,0,1,2,29,6,1,2,0,2,1,41,2,Higher,Low
Low,14,0,3,4,2,0,0,0,0,1,0,17,4,2,0,0,0,1,0,0,School,High
High,2,67,0,6,0,2,1,0,2,1,1,14,1,2,2,1,4,0,46,2,College,Low
Low,22,43,0,3,2,2,1,1,2,1,1,26,6,2,0,1,2,1,22,1,College,High
Low,28,46,0,0,0,1,0,1,2,1,0,23,5,1,0,1,4,2,31,1,School,Low
Medium,33,34,1,5,1,1,1,0,2,0,0,27,6,1,0,1,4,1,34,1,School,Medium
Medium,32,59,3,4,1,0,1,1,2,0,2,10,4,1,1,0,2,1,40,1,Higher,Medium
High,40,51,1,0,1,2,0,0,0,1,1,14,3,2,0,0,0,0,45,2,College,Medium
Low,40,7,2,6,2,0,1,0,1,0,1,14,3,2,1,0,2,2,21,1,College,High
Medium,22,40,4,5,2,0,1,0,1,1,0,10,1,2,2,1,4,1,32,1,School,High
